Wavelength,Deoxy,Oxy
850,0.1798319,0.2525936
851,0.1800188,0.253635
852,0.1802644,0.2546629
853,0.1805227,0.2555869
854,0.1807585,0.2563466
855,0.1809788,0.2570009
856,0.1812013,0.2576391
857,0.1814437,0.25835
858,0.1817199,0.2591971
859,0.1820286,0.2601401
860,0.1823647,0.2611131
861,0.1827244,0.2620623
862,0.1831078,0.2629814
863,0.183516,0.2638763
864,0.1839503,0.2647503
865,0.1844108,0.2655974
866,0.1848976,0.2664091
867,0.1854106,0.2671829
868,0.1859484,0.267941
869,0.1865094,0.2687117
870,0.1870849,0.2695095
871,0.1876371,0.2702948
872,0.1881212,0.2710143
873,0.1885119,0.2716325
874,0.1888623,0.2721861
875,0.1892451,0.2727294
876,0.189733,0.2733169
877,0.190371,0.2739844
878,0.191093,0.2746941
879,0.1918053,0.2753892
880,0.1924403,0.2760284
881,0.1930337,0.276631
882,0.1936474,0.2772312
883,0.1943245,0.277853
884,0.1950324,0.2784769
885,0.1957197,0.2790733
886,0.1963505,0.2796228
887,0.1969508,0.2801488
888,0.1975618,0.2806851
889,0.1982076,0.281251
890,0.1988427,0.2818066
891,0.1994039,0.2822969
892,0.1998496,0.2826856
893,0.2002235,0.2830091
894,0.2005905,0.2833218
895,0.2010157,0.2836785
896,0.2015395,0.2841152
897,0.2021042,0.2845944
898,0.2026275,0.28506
899,0.2030513,0.2854707
900,0.2034142,0.2858437
901,0.2037788,0.2862113
902,0.2041863,0.2865966
903,0.2045922,0.2869874
904,0.2049301,0.2873626
905,0.205153,0.2877048
906,0.2052904,0.2880115
907,0.2053906,0.2882837
908,0.2054899,0.2885251
909,0.2055751,0.2887498
910,0.2056208,0.2889744
911,0.2056063,0.28921
912,0.2055289,0.2894458
913,0.2053906,0.2896652
914,0.2051958,0.2898543
915,0.2049597,0.2900086
916,0.2046998,0.2901257
917,0.2044267,0.2902064
918,0.2041223,0.2902621
919,0.2037612,0.2903072
920,0.2033183,0.290356
921,0.2027767,0.2904198
922,0.202154,0.2904979
923,0.2014762,0.2905862
924,0.2007619,0.2906789
925,0.2000003,0.2907612
926,0.1991736,0.2908165
927,0.1982658,0.2908342
928,0.1972697,0.2908276
929,0.1961802,0.2908165
930,0.1949996,0.2908153
931,0.1937588,0.2908187
932,0.1924961,0.2908165
933,0.1912358,0.2907952
934,0.1899462,0.2907283
935,0.1885817,0.2905862
936,0.1871114,0.2903572
937,0.1855624,0.290101
938,0.1839765,0.2898955
939,0.1823855,0.2897927
940,0.1807801,0.2897416
941,0.1791411,0.2896652
942,0.1774498,0.2895037
943,0.1756898,0.2892651
944,0.1738452,0.2889744
945,0.1719081,0.2886572
946,0.1699021,0.2883408
947,0.1678585,0.2880534
948,0.1658022,0.2878125
949,0.1637323,0.2875938
950,0.1616415,0.2873626
951,0.1595233,0.2870914
952,0.1573748,0.2867815
953,0.1551942,0.2864416
954,0.1529824,0.2860788
955,0.1507516,0.2856949
956,0.1485167,0.2852903
957,0.1462892,0.2848636
958,0.1440657,0.2844065
959,0.1418392,0.2839087
960,0.1396062,0.2833686
961,0.1373761,0.282818
962,0.1351617,0.2822969
963,0.1329664,0.2818309
964,0.1307553,0.2813865
965,0.1284842,0.2809154
966,0.1261437,0.2803858
967,0.1238631,0.2798317
968,0.1218068,0.2793036
969,0.1200804,0.2788362
970,0.1185553,0.2784022
971,0.1170441,0.2779583
972,0.1153595,0.2774615
973,0.1133706,0.2768834
974,0.1111714,0.2762543
975,0.1089123,0.2756194
976,0.1067135,0.2750107
977,0.1045747,0.2744079
978,0.102465,0.2737774
979,0.1003715,0.2730977
980,0.09835104,0.2723944
981,0.09647832,0.271705
982,0.09476232,0.2710414
983,0.09294979,0.2703127
984,0.09072185,0.2694025
985,0.08794108,0.2682602
986,0.08519565,0.2670999
987,0.08307116,0.266137
988,0.08141728,0.2653285
989,0.0798997,0.264567
990,0.07825865,0.2637651
991,0.07653246,0.2629163
992,0.07483402,0.2620342
993,0.07324638,0.2611304
994,0.07173333,0.2602088
995,0.07022885,0.2592711
996,0.06868605,0.2583239
997,0.06713469,0.2573927
998,0.06562368,0.256508
999,0.06418923,0.2556829
